Merchant,Branch,1st time users,Organic sum of spend,Sum of Comission,Sum of rewards,% of Net Reward,Net Reward,Net Win/Loss,Avg Reward,Total GMV,Free Trial Until
Baker's Delight,Chatswood Chase,1,$5.40,$0.00,$2.95,0.00%,-$2.95,-10.00%,15,$29.50,13/07/19
The Factory Grind,Surry Hills,1,$27.00,$40.70,$63.90,0.04%,-$23.20,-7.26%,25,$319.50,30/09/18
Gelatissimo,Chatswood,1,$32.50,$0.00,$14.25,0.01%,-$14.25,-15.00%,15,$95.00,15/06/19
Sushisan,Prahran,1,$16.90,$8.97,$5.98,0.00%,$2.99,5.00%,10,$59.80,âˆ…
Sharetea,Burwood,1,$5.90,$3.19,$3.19,0.00%,$0.00,0.00%,15,$31.90,âˆ…
Mama's Buoi,Chadstone Shopping Centre,1,$207.65,$77.25,$77.25,0.05%,$0.00,0.00%,10,$515.00,31/08/18
King Tea,Eastwood,1,$8.00,$97.72,$114.20,0.07%,-$16.48,-3.93%,25,$419.10,âˆ…
Shiraaz,Melbourne,1,$7.00,$83.03,$83.03,0.05%,$0.00,0.00%,15,$332.10,âˆ…
Chef's Gallery,Parramatta,1,$12.53,$0.00,$67.41,0.04%,-$67.41,-15.00%,15,$449.37,âˆ…
Noodle Box,Hawthorn,1,$66.85,$24.51,$16.34,0.01%,$8.17,5.00%,10,$163.40,13/10/18
Fujimi Dorayaki,Chatswood,1,$6.50,$63.17,$50.54,0.03%,$12.63,5.00%,15,$252.70,âˆ…
Ouroboros,Surry Hills,1,$17.00,$53.95,$107.90,0.07%,-$53.95,-10.00%,20,$539.50,âˆ…
Saigon Bowl,Strathfield,1,$29.00,$2.35,$36.00,0.02%,-$33.65,-12.53%,10,$268.50,24/05/19
Cha Here,Springvale,1,$6.40,$85.22,$85.22,0.05%,$0.00,0.00%,10,$426.10,âˆ…
Paco's Tacos,Melbourne CBD,1,$81.96,$0.00,$12.13,0.01%,-$12.13,-10.00%,15,$121.25,30/09/19
Coco Cubano,Parramatta,1,$15.40,$19.91,$19.91,0.01%,$0.00,0.00%,15,$132.70,27/06/18
The Bulgogi,Strathfield,1,$242.80,$0.00,$100.20,0.06%,-$100.20,-9.94%,26.92,"$1,008.00",24/07/19
New York Minute Burgers,South Melbourne,1,$12.40,$14.13,$14.13,0.01%,$0.00,0.00%,20,$94.20,âˆ…
Kumo Izakaya,Brunswick East,1,$155.00,$27.51,$18.34,0.01%,$9.17,5.00%,9.17,$183.40,30/04/18
Araliya,St Kilda,1,$64.00,$63.13,$30.00,0.02%,$33.13,13.12%,10,$252.50,âˆ…
Caffe La Via,Malvern,1,$73.30,$5.91,$0.00,0.00%,$5.91,15.00%,,$39.40,âˆ…
Biggie Smalls,Windsor,1,$0.00,$0.00,$9.40,0.01%,-$9.40,-20.00%,25,$47.00,30/06/19
Agraba,North Melbourne,1,$81.50,$51.60,$47.73,0.03%,$3.87,1.94%,15,$199.00,âˆ…
Tokyo Japanese Restaurant,Melbourne CBD,1,$169.83,$365.89,$258.26,0.16%,$107.63,7.35%,10,"$1,463.56",âˆ…
Bruce Lee Sushi and Roll,Melbourne CBD,1,$114.69,$25.18,$25.18,0.02%,$0.00,0.00%,20,$167.85,13/10/18
Dragon Hot Pot,Clayton,1,$27.96,$0.00,$0.32,0.00%,-$0.32,-10.00%,15,$3.20,âˆ…
Spice Club,Frankston,1,$99.70,$26.18,$25.00,0.02%,$1.18,1.13%,15,$104.70,âˆ…
Chef's Gallery,Town Hall,1,$65.20,$0.00,$265.09,0.16%,-$265.09,-14.75%,20,"$1,797.50",âˆ…
Top Juice,QVB,1,$8.00,$2.92,$2.92,0.00%,$0.00,0.00%,10,$19.50,âˆ…
Bruce Lee Sushi and Roll,Westfield Southland,1,$38.30,$9.86,$9.86,0.01%,$0.00,0.00%,5,$65.75,13/10/18
King Tea,Parramatta,1,$14.50,$60.65,$71.55,0.04%,-$10.90,-4.21%,10.14,$259.00,âˆ…
La Camera,Southgate,1,$501.10,$67.63,$54.10,0.03%,$13.53,5.00%,25,$270.50,âˆ…
Kobe Jones,World Trade Centre Wharf,1,$517.35,$167.84,$60.00,0.04%,$107.84,16.06%,15,$671.35,âˆ…
Fogo Brazilian Churrasco,Bondi Junction,1,$94.00,$39.76,$29.82,0.02%,$9.94,5.00%,20,$198.80,âˆ…
Sardi Cafe,Hawthorn,1,$0.70,$19.93,$19.93,0.01%,$0.00,0.00%,25,$79.70,âˆ…
Hayashi291,Richmond,5,$195.15,$23.16,$23.16,0.01%,$0.00,0.00%,15,$115.80,âˆ…
Martha Ray's,Fitzroy,5,$80.90,$21.60,$21.60,0.01%,$0.00,0.00%,20,$108.00,31/12/18
Marmara Restaurant,Windsor,5,$244.74,$15.75,$15.75,0.01%,$0.00,0.00%,15,$63.00,âˆ…
Sushisan,Balaclava,4,$8.47,$7.39,$4.93,0.00%,$2.46,4.99%,10,$49.30,31/10/18
Movida Aqui,Melbourne CBD,4,$201.56,$0.00,$38.03,0.02%,-$38.03,-6.70%,15,$567.62,30/09/19
Hu's Pie & Dumplings,Malvern,4,$37.85,$10.25,$8.20,0.00%,$2.05,5.00%,10,$41.00,âˆ…
Blue Note Cafe,Richmond,4,$65.53,$19.43,$19.43,0.01%,$0.00,0.00%,15,$77.70,âˆ…
Seoul Soul,Northcote,4,$97.40,$37.80,$37.80,0.02%,$0.00,0.00%,10,$378.00,16/02/19
Melbourne Crepe House,Carlton,3,$164.57,$6.92,$4.61,0.00%,$2.31,5.01%,15,$46.10,âˆ…
The Yarra Indian,South Yarra,3,$32.83,$6.75,$5.40,0.00%,$1.35,5.00%,10,$27.00,âˆ…
Happy Lemon,Docklands,2,$5.04,$0.00,$101.89,0.06%,-$101.89,-26.02%,25,$391.62,âˆ…
Liven Bistro,Dixon's BBQ Hut,2,$535.70,$151.03,$151.03,0.09%,$0.00,0.00%,15,$604.10,âˆ…
Lavezzi Gelato,Eastland Shopping Centre,2,$50.45,$19.36,$12.91,0.01%,$6.45,5.00%,15,$129.10,âˆ…
Bar Tini,Melbourne CBD,1,$12.00,$0.00,$4.73,0.00%,-$4.73,-10.01%,15,$47.27,30/09/19
Piccolo Me,Lonsdale Street,1,$0.00,$5.66,$5.66,0.00%,$0.00,0.00%,10,$37.70,31/10/18
ONDA Bar and Eatery,Richmond,1,$350.30,$33.90,$33.90,0.02%,$0.00,0.00%,15,$169.50,âˆ…
Royal Thai Massage,Melbourne CBD,1,$80.90,$11.25,$11.25,0.01%,$0.00,0.00%,20,$75.00,âˆ…
Laksa King Kitchen,Flemington,1,$42.60,$0.00,$73.77,0.04%,-$73.77,-10.00%,15,$737.70,âˆ…
MoVida,Melbourne CBD,1,$250.99,$0.00,$26.50,0.02%,-$26.50,-10.00%,10,$265.02,30/09/19
Robarta,St Kilda,1,$22.00,$17.50,$17.50,0.01%,$0.00,0.00%,13.75,$70.00,âˆ…
The Bar Royal,Glen Huntly,14.8,$14.80,0.05%,$0.00,0.00%,15,$59.20,∅,,
Madame Nhu,Westfield Chatswood,14.51,$14.51,0.05%,$0.00,0.00%,20,$145.10,∅,,
Piccolo Me,King Street,14.44,$14.44,0.05%,$0.00,0.00%,15,$96.25,2018-10-31,,
Gelatissimo,Chatswood,0,$14.25,0.04%,-$14.25,-15.00%,15,$95.00,2019-06-15,,
New York Minute Burgers,South Melbourne,14.13,$14.13,0.04%,$0.00,0.00%,20,$94.20,∅,,
IKU Wholefood,Westfield Plaza,13.8,$13.80,0.04%,$0.00,0.00%,15,$92.00,∅,,
Mama Mulan,Chatswood,17.25,$13.80,0.04%,$3.45,5.00%,10,$68.99,∅,,
New York Minute Burgers,Hawthorn,13.52,$13.52,0.04%,$0.00,0.00%,10,$90.10,∅,,
4 Ounces Burger,Leichhardt,13.4,$13.40,0.04%,$0.00,0.00%,10,$67.00,2018-09-15,,
Lavezzi Gelato,Eastland Shopping Centre,19.36,$12.91,0.04%,$6.45,5.00%,15,$129.10,∅,,
SumoSalad,Burwood,12.62,$12.62,0.04%,$0.00,0.00%,15,$84.15,∅,,
Paco's Tacos,Melbourne CBD,0,$12.13,0.04%,-$12.13,-10.00%,15,$121.25,2019-09-30,,
Chir Chir Korean,Burwood,11.85,$12.00,0.04%,-$0.15,-0.19%,10,$78.00,∅,,
Iris and the Secret Squirrel,Richmond,11.7,$11.70,0.04%,$0.00,0.00%,25,$117.00,∅,,
DoDee Paidang Thai,Chatswood,11.5,$11.50,0.04%,$0.00,0.00%,7.5,$115.00,∅,,
Noodles vs Dumplings,Melbourne CBD,11.32,$11.32,0.04%,$0.00,0.00%,15,$75.50,∅,,
Royal Thai Massage,Melbourne CBD,11.25,$11.25,0.04%,$0.00,0.00%,20,$75.00,∅,,
Roll'd,Jam Factory,10.9,$10.90,0.03%,$0.00,0.00%,15,$72.65,2018-05-31,,
Billy's Courtyard,Glen Iris,10.53,$10.53,0.03%,$0.00,0.00%,20,$105.30,∅,,
Kaaoli Sushi Cafe,Prahran,10.45,$10.45,0.03%,$0.00,0.00%,10,$41.80,∅,,
Master Yang,Chatswood,1.77,$10.41,0.03%,-$8.64,-12.45%,25,$69.40,2019-05-31,,
RocoMamas,Windsor,10.2,$10.20,0.03%,$0.00,0.00%,15,$51.00,∅,,
Saigon Summer,Ashfield Mall,10.04,$10.04,0.03%,$0.00,0.00%,10,$125.60,∅,,
Bruce Lee Sushi and Roll,Westfield Southland,9.86,$9.86,0.03%,$0.00,0.00%,5,$65.75,2018-10-13,,
SumoSalad,Parramatta,9.65,$9.65,0.03%,$0.00,0.00%,10,$64.35,∅,,
Biggie Smalls,Windsor,0,$9.40,0.03%,-$9.40,-20.00%,25,$47.00,2019-06-30,,
La Figo,Melbourne CBD,11.76,$8.82,0.03%,$2.94,5.00%,15,$58.80,∅,,
Gelateria Gondola,Chatswood,8.32,$8.32,0.03%,$0.00,0.00%,15,$55.50,∅,,
Hu's Pie & Dumplings,Malvern,10.25,$8.20,0.03%,$2.05,5.00%,10,$41.00,∅,,
London K Burgers,Kensington,12.21,$8.14,0.03%,$4.07,5.00%,10,$81.40,∅,,
Peppans Bar & Cafe,South Yarra,7.88,$7.88,0.02%,$0.00,0.00%,10,$31.50,∅,,
Tap831,Docklands,10.5,$7.88,0.02%,$2.62,4.99%,20,$52.50,2018-07-15,,
Xage,Surry Hills,7.71,$7.71,0.02%,$0.00,0.00%,10,$77.10,∅,,
Basement Cafe,Melbourne CBD,11.51,$7.67,0.02%,$3.84,5.01%,15,$76.70,∅,,
Sandoitchi,Darlinghurst,7.58,$7.58,0.02%,$0.00,0.00%,15,$151.50,2018-11-30,,
Area Four,Melbourne CBD,2.1,$7.00,0.02%,-$4.90,-17.50%,20,$28.00,2019-05-04,,
Siam Thai,Melbourne CBD,9.3,$6.97,0.02%,$2.33,5.01%,10,$46.50,∅,,
Clarendon Station,South Melbourne,0,$6.88,0.02%,-$6.88,-10.00%,15,$68.80,∅,,
Malacca Straits on Broadway,Ultiimo,6.42,$6.42,0.02%,$0.00,0.00%,20,$102.60,∅,,
Matsuzaka,Caulfield South,6,$6.00,0.02%,$0.00,0.00%,15,$60.00,∅,,
Sushisan,Prahran,8.97,$5.98,0.02%,$2.99,5.00%,10,$59.80,∅,,
Romanos Coffee,Wantirna South,8.91,$5.94,0.02%,$2.97,5.00%,15,$59.40,∅,,
Sayers Sister [Kounta Demo],CES 2019 Demo Las Vegas,7.38,$5.90,0.02%,$1.48,5.02%,15,$29.50,∅,,
Piccolo Me,Lonsdale Street,5.66,$5.66,0.02%,$0.00,0.00%,10,$37.70,2018-10-31,,
Kokido,Caulfield South,8.34,$5.56,0.02%,$2.78,10.00%,10,$27.80,∅,,
Noodle Box,Malvern,8.22,$5.48,0.02%,$2.74,5.00%,7,$54.80,2018-10-13,,
Bar Ume,Surry Hills,5.46,$5.46,0.02%,$0.00,0.00%,15,$36.40,2018-11-10,,
The Yarra Indian,South Yarra,6.75,$5.40,0.02%,$1.35,5.00%,10,$27.00,∅,,
Top Juice,Central Park,4.95,$4.95,0.02%,$0.00,0.00%,20,$33.00,∅,,
Sushisan,Balaclava,7.39,$4.93,0.02%,$2.46,4.99%,10,$49.30,2018-10-31,,
Bar Tini,Melbourne CBD,0,$4.73,0.01%,-$4.73,-10.01%,15,$47.27,2019-09-30,,
Melbourne Crepe House,Carlton,6.92,$4.61,0.01%,$2.31,5.01%,15,$46.10,∅,,
Roll'd,Barkly Square,3.94,$3.94,0.01%,$0.00,0.00%,15,$26.30,2018-05-14,,
Preet Indian,Chatswood,0,$3.62,0.01%,-$3.62,-20.00%,20,$18.10,2019-06-15,,
Baker's Delight,Wynyard,0,$3.61,0.01%,-$3.61,-10.00%,10,$36.10,2019-07-13,,
Sharetea,Burwood,3.19,$3.19,0.01%,$0.00,0.00%,15,$31.90,∅,,
Lanes Edge Cafe Bar,Melbourne CBD,3.14,$3.14,0.01%,$0.00,0.00%,25,$20.95,∅,,
Baker's Delight,Chatswood Chase,0,$2.95,0.01%,-$2.95,-10.00%,15,$29.50,2019-07-13,,
Top Juice,QVB,2.92,$2.92,0.01%,$0.00,0.00%,10,$19.50,∅,,
My Sista Says,Port Melbourne,3.8,$2.85,0.01%,$0.95,5.00%,10,$19.00,∅,,
Top Juice,Wintergarden,2.63,$2.63,0.01%,$0.00,0.00%,10,$17.50,∅,,
Rainbow Toastie,Melbourne CBD,2.58,$2.58,0.01%,$0.00,0.00%,15,$12.90,∅,,
Fratelli Famous,World Square,2.25,$2.25,0.01%,$0.00,0.00%,20,$15.00,2018-10-31,,
Hikari Sushi,Chatswood,0,$2.10,0.01%,-$2.10,-28.00%,10,$7.50,2019-06-22,,
Sharetea,Forest Hill Chase SC,1.81,$1.81,0.01%,$0.00,0.00%,25,$18.10,∅,,
Yo! Sushi Noodle,Cremorne,1.33,$1.33,0.00%,$0.00,0.00%,15,$13.30,∅,,
Pizza M,Ultimo,1,$1.00,0.00%,$0.00,0.00%,15,$10.00,∅,,
Dumplings and Beer,Potts Point,0.9,$0.90,0.00%,$0.00,0.00%,15,$18.00,2018-08-31,,
Bibim Bowl and Rolls,Chatswood,0.75,$0.60,0.00%,$0.15,5.00%,15,$3.00,∅,,
Code 21,Brunswick,0.6,$0.60,0.00%,$0.00,0.00%,15,$4.00,∅,,
Seoulmate,Chatswood,0.45,$0.45,0.00%,$0.00,0.00%,15,$3.00,∅,,
IKU Wholefood,MET Centre,0.45,$0.45,0.00%,$0.00,0.00%,10,$3.00,∅,,
IKU Wholefood,Glebe,0.45,$0.45,0.00%,$0.00,0.00%,15,$3.00,∅,,
Dragon Hot Pot,Clayton,0,$0.32,0.00%,-$0.32,-10.00%,15,$3.20,∅,,
IKU Wholefood,MLC Centre,0.3,$0.30,0.00%,$0.00,0.00%,15,$2.00,∅,,
IKU Wholefood,North Sydney,0.3,$0.30,0.00%,$0.00,0.00%,15,$2.00,∅,,
Top Juice,Central Plaza,0.3,$0.30,0.00%,$0.00,0.00%,15,$2.00,∅,,
Down n' Out,Crow's Nest,0.3,$0.30,0.00%,$0.00,0.00%,15,$2.00,∅,,
Black Star Pastry,Moore Park,0.3,$0.30,0.00%,$0.00,0.00%,15,$2.00,∅,,
IKU Wholefood,Neutral Bay,0.3,$0.30,0.00%,$0.00,0.00%,15,$2.00,∅,,
IKU Wholefood,North Ryde,0.3,$0.30,0.00%,$0.00,0.00%,25,$2.00,∅,,
Beau Tea,Haymarket,0.3,$0.30,0.00%,$0.00,0.00%,25,$2.00,∅,,
IKU Wholefood,Waverley,0.3,$0.30,0.00%,$0.00,0.00%,20,$2.00,∅,,
IKU Wholefood,Rozelle,0.3,$0.30,0.00%,$0.00,0.00%,10,$2.00,∅,,
Down n' Out,Ryde,0.3,$0.30,0.00%,$0.00,0.00%,20,$2.00,∅,,
Down n' Out,Sydney,0.3,$0.30,0.00%,$0.00,0.00%,15,$2.00,∅,,
Top Juice,Westfield Pitt Street,0.3,$0.30,0.00%,$0.00,0.00%,15,$2.00,∅,,
DoDee Paidang Thai,Sydney CBD,0.3,$0.30,0.00%,$0.00,0.00%,15,$3.00,∅,,
Sicilian Restaurant,Parramatta,0.25,$0.25,0.00%,$0.00,0.00%,15,$1.00,2018-09-30,,
Rhapsody's Cafe,Carlton North,0.25,$0.25,0.00%,$0.00,0.00%,15,$1.00,∅,,
Si Senorita,Fitzroy,0.25,$0.20,0.00%,$0.05,5.00%,15,$1.00,∅,,
Baker's Delight,Crow's Nest,0,$0.20,0.00%,-$0.20,-10.00%,15,$2.00,2019-07-13,,
Beau Tea,Kingsford,0.15,$0.15,0.00%,$0.00,0.00%,15,$1.00,∅,,
Beau Tea,Cabramatta,0.15,$0.15,0.00%,$0.00,0.00%,15,$1.00,∅,,
Beau Tea,Chatswood,0,$0.15,0.00%,-$0.15,-15.00%,,$1.00,2019-07-20,,
Black Star Pastry,Sydney CBD,0.15,$0.15,0.00%,$0.00,0.00%,,$1.00,∅,,
Black Star Pastry,Newtown,0.15,$0.15,0.00%,$0.00,0.00%,,$1.00,∅,,
Delisse,MET Centre,0.15,$0.15,0.00%,$0.00,0.00%,,$1.00,2018-12-22,,
Black Star Pastry,Rosebery,0.15,$0.15,0.00%,$0.00,0.00%,,$1.00,∅,,
Nene Chicken,North Ryde,0.1,$0.10,0.00%,$0.00,0.00%,10,$1.00,∅,,
Abacus Bar and Kitchen,South Yarra,0,$0.10,0.00%,-$0.10,-10.00%,10,$1.00,∅,,
Hellenic Republic,Williamstown,0,$0.10,0.00%,-$0.10,-10.00%,10,$1.00,∅,,
Collective Espresso,Camberwell,0.1,$0.10,0.00%,$0.00,0.00%,10,$1.00,∅,,
Hellenic Republic,Brunswick,0,$0.10,0.00%,-$0.10,-10.00%,10,$1.00,∅,,
Abacus All Day,Ringwood,0,$0.10,0.00%,-$0.10,-10.00%,10,$1.00,∅,,
Clarendon Sky Bar,South Melbourne,0,$0.10,0.00%,-$0.10,-10.00%,10,$1.00,∅,,
Baker's Delight,Glebe,0,$0.10,0.00%,-$0.10,-10.00%,10,$1.00,2019-07-13,,
Hellenic Republic,Brighton,0,$0.10,0.00%,-$0.10,-10.00%,10,$1.00,∅,,
Hellenic Republic,Kew,0,$0.10,0.00%,-$0.10,-10.00%,10,$1.00,∅,,
Limor's Restaurant,Elsternwick,8.75,$0.00,0.00%,$8.75,25.00%,,$35.00,∅,,
Caffe La Via,Malvern,5.91,$0.00,0.00%,$5.91,15.00%,,$39.40,∅,,
PappaRich,Brunswick,0,$0.10,0.00%,-$0.10,-10.00%,,$1.00,∅,,
Sharetea,South Melbourne,0,$0.10,0.00%,-$0.10,-10.00%,,$1.00,∅,,
Sazio Restaurant Bar and Cafe,Ringwood,0,$0.10,0.00%,-$0.10,-10.00%,,$1.00,∅,,
Thai Pothong,South Yarra,0,$0.10,0.00%,-$0.10,-10.00%,,$1.00,∅,,
Mad Pizza e Bar,Kew,0,$0.10,0.00%,-$0.10,-10.00%,,$1.00,∅,,
YiFang Taiwan Fruit Tea,Brighton,0,$0.10,0.00%,-$0.10,-10.00%,,$1.00,∅,,
Wasabi & Chilli,North Ryde,0.1,$0.10,0.00%,$0.00,0.00%,,$1.00,∅,,
Edition Coffee Roasters,Camberwell,0.1,$0.10,0.00%,$0.00,0.00%,,$1.00,∅,,
Limor's Restaurant,Elsternwick,8.75,$0.00,0.00%,$8.75,25.00%,25,$35.00,∅,,
Caffe La Via,Malvern,5.91,$0.00,0.00%,$5.91,15.00%,10,$39.40,∅,,
Casa Asturiana,Malvern,5.91,$0.00,0.00%,$5.91,15.00%,,$39.40,∅,,
Cinque,Elsternwick,8.75,$0.00,0.00%,$8.75,25.00%,,$35.00,∅,,
