Merchant,Branch,1st time users,Organic sum of spend,Sum of Comission,Sum of rewards,% of Net Reward,Net Reward,Net Win/Loss,Avg Reward,Total GMV,Free Trial Until
Gotcha!,Parkmore Shopping Centre,85,$16.64,$323.18,$641.95,0.39%,-$318.77,-10.97%,20,"$2,906.35",âˆ…
YiFang Taiwan Fruit Tea,Burwood,83,$5.89,$256.95,$256.95,0.16%,$0.00,0.00%,10,"$2,569.52",âˆ…
Messina,The Star,83,$17.78,$84.58,$84.58,0.05%,$0.00,0.00%,15,$845.80,30/11/18
Burger Project,St Collins Lane,83,$11.11,$0.00,$331.93,0.20%,-$331.93,-15.00%,15.05,"$2,212.86",12/10/19
Din Tai Fung,Westfield Chatswood,83,$80.46,$0.00,"$1,619.34",0.98%,"-$1,619.34",-14.75%,22.9,"$10,976.01",30/06/19
YiFang Taiwan Fruit Tea,Eastwood,82,$12.69,$161.90,$161.90,0.10%,$0.00,0.00%,20,"$1,619.00",âˆ…
Messina,Tramsheds,80,$8.20,$88.03,$88.03,0.05%,$0.00,0.00%,10,$880.30,30/11/18
Dragon Hot Pot,Russell Street,78,$104.84,$0.00,"$1,384.61",0.84%,"-$1,384.61",-11.95%,20.12,"$11,590.01",31/12/19
Lanzhou Beef Noodle Bar,Elizabeth Street,77,$53.23,$0.00,"$2,270.97",1.38%,"-$2,270.97",-17.02%,17.47,"$13,339.90",31/12/19
Burger Project,World Square Shopping Centre,76,$8.27,$0.00,$338.56,0.21%,-$338.56,-15.00%,15,"$2,257.10",12/10/19
Mad Mex,Sydney Central Plaza,74,$10.69,$256.94,$256.94,0.16%,$0.00,0.00%,10,"$1,712.95",31/08/18
Mad Mex,Chadstone Shopping Centre,72,$12.37,$163.13,$163.13,0.10%,$0.00,0.00%,10,"$1,087.51",31/08/18
DoDee Paidang Thai,Melbourne CBD,71,$172.72,$0.00,"$3,827.15",2.32%,"-$3,827.15",-9.50%,10,"$40,291.01",24/08/19
Award Kitchen,Sydney,71,$16.27,$303.14,$303.14,0.18%,$0.00,0.00%,25,"$3,096.20",âˆ…
