Id,Name,Suburb,Zomato Name,levenshtein,n,url
1453.0,Saigon Summer,Ashfield Mall,Saigon Summer,0,2,"https://www.zomato.com/sydney/saigon-summer-ashfield
"
1354.0,Sharetea,UNSW,Sharetea,0,8,"https://www.zomato.com/sydney/sharetea-kensington
"
1324.0,RivaReno Gelato,Darlinghurst,RivaReno Gelato,0,2,"https://www.zomato.com/sydney/rivareno-gelato-darlinghurst
"
1319.0,Fratelli Fresh,Bridge Street,Fratelli Fresh,0,7,"https://www.zomato.com/sydney/fratelli-fresh-cbd
"
1385.0,Mr Crackles,Darlinghurst,Mr Crackles,0,1,"https://www.zomato.com/sydney/mr-crackles-darlinghurst
"
689.0,Pho Mumum,Chippendale,Pho Mumum,0,1,"https://www.zomato.com/sydney/pho-mumum-ultimo
"
1632.0,Mamak,Haymarket,Mamak,0,2,"https://www.zomato.com/sydney/mamak-haymarket
"
1633.0,Mamak,Chatswood,Mamak,0,2,"https://www.zomato.com/sydney/mamak-chatswood
"
1247.0,CoCo Fresh Tea & Juice,Regent Place,CoCo Fresh Tea & Juice,0,11,"https://www.zomato.com/sydney/coco-fresh-tea-juice-cbd
"
1315.0,Fratelli Fresh,Westfield Sydney CBD,Fratelli Fresh,0,7,"https://www.zomato.com/sydney/fratelli-fresh-2-cbd
"
1656.0,Fujimi Dorayaki,Chatswood,Fujimi Dorayaki,0,1,"https://www.zomato.com/sydney/fujimi-dorayaki-chatswood
"
1317.0,Fratelli Fresh,Crows Nest,Fratelli Fresh,0,7,"https://www.zomato.com/sydney/fratelli-fresh-crows-nest
"
381.0,Blue Fish,Darling Harbour,Blue Fish,0,1,"https://www.zomato.com/sydney/blue-fish-cbd
"
1659.0,Liu's Kitchen,Chatswood,Liu's Kitchen,0,1,"https://www.zomato.com/sydney/lius-kitchen-chatswood
"
1537.0,Din Tai Fung,Broadway Shopping Centre,Din Tai Fung,0,8,"https://www.zomato.com/sydney/din-tai-fung-glebe
"
728.0,Dumpling Hut,Newtown,Dumpling Hut,0,1,"https://www.zomato.com/sydney/dumpling-hut-newtown
"
1147.0,Osteria Antica,Annandale,Osteria Antica,0,1,"https://www.zomato.com/sydney/osteria-antica-annandale
"
1249.0,Mai Viet,Redfern,Mai Viet,0,1,"https://www.zomato.com/sydney/mai-viet-redfern
"
961.0,Coco Cubano,Central Park,Coco Cubano,0,4,"https://www.zomato.com/sydney/coco-cubano-chippendale
"
1472.0,TNS Coffee Project,Chippendale,TNS Coffee Project,0,1,"https://www.zomato.com/sydney/tns-coffee-project-chippendale
"
973.0,Coco Cubano,Parramatta,Coco Cubano,0,4,"https://www.zomato.com/sydney/coco-cubano-parramatta
"
1459.0,Oh! Matcha,World Square,Oh! Matcha,0,2,"https://www.zomato.com/sydney/oh-matcha-2-cbd
"
1546.0,The Bun Gallery,Haymarket,The Bun Gallery,0,1,"https://www.zomato.com/sydney/the-bun-gallery-haymarket
"
1465.0,Granny Wolf BBQ,Chippendale,Granny Wolf BBQ,0,1,"https://www.zomato.com/sydney/granny-wolf-bbq-chippendale
"
474.0,Black Ginger,Enmore,Black Ginger,0,1,"https://www.zomato.com/sydney/black-ginger-newtown
"
1215.0,Mad Mex,Zetland,Mad Mex,0,8,"https://www.zomato.com/sydney/mad-mex-1-zetland
"
1470.0,Ramen Zundo,World Square Shopping Centre,Ramen Zundo,0,4,"https://www.zomato.com/sydney/ramen-zundo-cbd
"
1611.0,Thai Pothong,Marrickville,Thai Pothong,0,2,"https://www.zomato.com/sydney/thai-pothong-marrickville
"
659.0,Spanish Tapas,Glebe,Spanish Tapas,0,2,"https://www.zomato.com/sydney/spanish-tapas-glebe
"
1687.0,Chat Thai,Haymarket,Chat Thai,0,2,"https://www.zomato.com/sydney/chat-thai-haymarket
"
1045.0,Mad Mex,Central Station,Mad Mex,0,8,"https://www.zomato.com/sydney/mad-mex-haymarket
"
489.0,Olivo,Darling Harbour,Olivo,0,1,"https://www.zomato.com/sydney/olivo-cbd
"
1055.0,PappaRich,Macquarie,PappaRich,0,2,"https://www.zomato.com/sydney/papparich-1-macquarie-park
"
1366.0,The Sandwich Shop,Haymarket,The Sandwich Shop,0,3,"https://www.zomato.com/sydney/the-sandwich-shop-haymarket
"
1305.0,Lord of the Fries,Central Station,Lord of the Fries,0,2,"https://www.zomato.com/sydney/lord-of-the-fries-haymarket
"
1411.0,The Sandwich Shop,Steam Mill Popup,The Sandwich Shop,0,3,"https://www.zomato.com/sydney/the-sandwich-shop-haymarket
"
425.0,Harbour Bar & Kitchen,Darling Harbour,Harbour Bar & Kitchen,0,1,"https://www.zomato.com/sydney/harbour-bar-kitchen-cbd
"
1593.0,Chapayom,Sydney,Chapayom,0,1,"https://www.zomato.com/sydney/chapayom-cbd
"
294.0,Bluewater Cafe,Manly,Bluewater Cafe,0,3,"https://www.zomato.com/sydney/bluewater-cafe-manly
"
512.0,Chur Burger,Surry Hills,Chur Burger,0,1,"https://www.zomato.com/sydney/chur-burger-surry-hills
"
1337.0,Piccolo Me,Castlereagh Street,Piccolo Me,0,4,"https://www.zomato.com/sydney/piccolo-me-cbd
"
1542.0,Phomo,Barangaroo,Phomo,0,1,"https://www.zomato.com/sydney/phomo-barangaroo
"
959.0,Coco Cubano,Kensington UNSW,Coco Cubano,0,4,"https://www.zomato.com/sydney/coco-cubano-kensington
"
1318.0,Fratelli Fresh,Alexandria,Fratelli Fresh,0,7,"https://www.zomato.com/sydney/fratelli-fresh-alexandria
"
1680.0,Beau Tea,Cabramatta,Beau Tea,0,4,"https://www.zomato.com/sydney/beau-tea-cabramatta
"
1539.0,Din Tai Fung,Greenwood Plaza,Din Tai Fung,0,8,"https://www.zomato.com/sydney/din-tai-fung-north-sydney
"
1534.0,Din Tai Fung,World Square Shopping Centre,Din Tai Fung,0,8,"https://www.zomato.com/sydney/din-tai-fung-1-cbd
"
1456.0,Tonda Pizza,Chippendale,Tonda Pizza,0,1,"https://www.zomato.com/sydney/tonda-pizza-chippendale
"
1479.0,Mama Rosy's,Newtown,Mama Rosy's,0,1,"https://www.zomato.com/sydney/mama-rosys-newtown
"
1339.0,Fratelli Fresh,Darling Harbour,Fratelli Fresh,0,7,"https://www.zomato.com/sydney/fratelli-fresh-3-cbd
"
1574.0,Burger Project,Circular Quay,Burger Project,0,8,"https://www.zomato.com/sydney/burger-project-2-cbd
"
911.0,Great Aunty Three,Enmore,Great Aunty Three,0,1,"https://www.zomato.com/sydney/great-aunty-three-enmore
"
1581.0,Ichi-ban Boshi,Bondi Junction,Ichi-ban Boshi,0,3,"https://www.zomato.com/sydney/ichi-ban-boshi-1-bondi-junction
"
785.0,Criniti's,Manly,Criniti's,0,3,"https://www.zomato.com/sydney/crinitis-manly
"
1661.0,Gelatissimo,Chatswood,Gelatissimo,0,1,"https://www.zomato.com/sydney/gelatissimo-chatswood
"
1543.0,Din Tai Fung,Miranda,Din Tai Fung,0,8,"https://www.zomato.com/sydney/din-tai-fung-miranda
"
1316.0,Fratelli Fresh,Walsh Bay,Fratelli Fresh,0,7,"https://www.zomato.com/sydney/fratelli-fresh-dawes-point
"
1685.0,Seoulmate,Chatswood,Seoulmate,0,1,"https://www.zomato.com/sydney/seoulmate-north-willoughby
"
904.0,Top's Kitchen,Surry Hills,Top's Kitchen,0,1,"https://www.zomato.com/sydney/tops-kitchen-surry-hills
"
1153.0,Luxe,Barangaroo,Luxe,0,1,"https://www.zomato.com/sydney/luxe-barangaroo
"
1482.0,Ajisen Ramen,Sydney,Ajisen Ramen,0,2,"https://www.zomato.com/sydney/ajisen-ramen-cbd
"
1154.0,Mama's Buoi,Crow's Nest,Mama's Buoi,0,3,"https://www.zomato.com/sydney/mamas-buoi-crows-nest
"
1246.0,CoCo Fresh Tea & Juice,Ultimo,CoCo Fresh Tea & Juice,0,11,"https://www.zomato.com/sydney/coco-fresh-tea-juice-chippendale
"
387.0,Delhi 'O' Delhi,Newtown,Delhi 'O' Delhi,0,1,"https://www.zomato.com/sydney/delhi-o-delhi-newtown
"
1448.0,Khoi Eatery,Marrickville,Khoi Eatery,0,1,"https://www.zomato.com/sydney/khoi-eatery-1-marrickville
"
707.0,Qing's Kitchen,Eastwood,Qing's Kitchen,0,1,"https://www.zomato.com/sydney/qings-kitchen-eastwood
"
1155.0,Mama's Buoi,Surry Hills,Mama's Buoi,0,3,"https://www.zomato.com/sydney/mamas-buoi-surry-hills
"
1540.0,Din Tai Fung,Westfield CBD,Din Tai Fung,0,8,"https://www.zomato.com/sydney/din-tai-fung-cbd
"
1477.0,Pho Gia Hoi,Sydney,Pho Gia Hoi,0,1,"https://www.zomato.com/sydney/pho-gia-hoi-cbd
"
1227.0,La Lucha,Sydney,La Lucha,0,1,"https://www.zomato.com/sydney/la-lucha-cbd
"
1214.0,The Char Rotisserie,Bondi,The Char Rotisserie,0,1,"https://www.zomato.com/sydney/the-char-rotisserie-bondi
"
741.0,Real Peas,Sydney,Real Peas,0,1,"https://www.zomato.com/sydney/real-peas-cbd
"
1679.0,Beau Tea,Kingsford,Beau Tea,0,4,"https://www.zomato.com/sydney/beau-tea-kingsford
"
1276.0,Salt Meats Cheese,Circular Quay,Salt Meats Cheese,0,1,"https://www.zomato.com/sydney/salt-meats-cheese-cbd
"
1042.0,Mad Mex,Sydney Central Plaza,Mad Mex,0,8,"https://www.zomato.com/sydney/mad-mex-2-cbd
"
1336.0,Piccolo Me,Macquarie Street,Piccolo Me,0,4,"https://www.zomato.com/sydney/piccolo-me-3-cbd
"
1493.0,Madame Nhu,Westfield Hornsby,Madame Nhu,0,3,"https://www.zomato.com/sydney/madame-nhu-hornsby
"
1047.0,Mad Mex,Randwick,Mad Mex,0,8,"https://www.zomato.com/sydney/mad-mex-randwick
"
1580.0,Black Label,Grosvenor Place,Black Label Burger Project,15,1,"https://www.zomato.com/sydney/black-label-burger-project-cbd
"
1571.0,Pablo and Rusty's,Sydney,Pablo & Rusty's,3,3,"https://www.zomato.com/sydney/pablo-rustys-cbd
"
1508.0,HongKong Kitchen,Sydney,Hong Kong Kitchen Chinatown 港夠味,15,1,"https://www.zomato.com/sydney/hong-kong-kitchen-chinatown-cbd
"
1550.0,YiFang Taiwan Fruit Tea,Burwood,Yifang Taiwan Fruit Tea 一芳水果茶,7,4,"https://www.zomato.com/sydney/yifang-taiwan-fruit-tea-burwood
"
1625.0,Danjee Korean BBQ,Sydney,Danjee,11,2,"https://www.zomato.com/sydney/danjee-cbd
"
477.0,The Ohbar Thai Cuisine 1982,Sydney CBD,THE OHBAR Thai Cuisine 1982,6,1,"https://www.zomato.com/sydney/the-ohbar-thai-cuisine-1982-cbd
"
1381.0,Award Kitchen,Sydney,Award Kitchen 澳華小廚,5,1,"https://www.zomato.com/sydney/award-kitchen-cbd
"
1017.0,Fogo Brazilian Churrasco,Bondi Junction,Fogo Brazilian Churrasco Grill,6,1,"https://www.zomato.com/sydney/fogo-brazilian-churrasco-grill-bondi-junction
"
1484.0,Xage,Surry Hills,Xage Vietnamese,11,1,"https://www.zomato.com/sydney/xage-vietnamese-surry-hills
"
1261.0,Banh and Butter,Sydney,Bánh & Butter,4,1,"https://www.zomato.com/sydney/bánh-butter-cbd
"
1461.0,Bowie Espresso Cafe,Sydney,Bowie Espresso,5,1,"https://www.zomato.com/sydney/bowie-espresso-cbd
"
1487.0,Kameya,The Rocks,Kameya Ramen Bar & Dining,19,1,"https://www.zomato.com/sydney/kameya-ramen-bar-dining-the-rocks
"
