,Name,Suburb,Id,Zomato Name,url
0,Swanky Noodle,Parramatta,720.0,Swanky Noodle Restaurant,"https://www.zomato.com/sydney/swanky-noodle-restaurant-parramatta
"
0,Subsolo,Sydney,632.0,Subsolo,"https://www.zomato.com/sydney/subsolo-cbd
"
0,Spanish Tapas,Glebe,659.0,Spanish Tapas,"https://www.zomato.com/sydney/spanish-tapas-glebe
"
1,Spanish Tapas,Glebe,659.0,Sappho Books Wine Bar,"https://www.zomato.com/sydney/sappho-books-wine-bar-glebe
"
0,South Dowling Sandwiches,Darlinghurst,1226.0,South Dowling Sandwiches,"https://www.zomato.com/sydney/south-dowling-sandwiches-darlinghurst
"
0,Song Tea,Dixon Street,1519.0,Song Tea,"https://www.zomato.com/sydney/song-tea-chinatown
"
1,Song Tea,Dixon Street,1519.0,Song Tea,"https://www.zomato.com/sydney/song-tea-1-cbd
"
0,Sicilian Restaurant,Parramatta,298.0,Sicilian Parramatta,"https://www.zomato.com/sydney/sicilian-parramatta-parramatta
"
0,Shinsen Sushi,Sydney,1218.0,Sushi Shinsen,"https://www.zomato.com/sydney/sushi-shinsen-cbd
"
0,Sharetea,UNSW,1354.0,Sharetea,"https://www.zomato.com/sydney/sharetea-kensington
"
0,Sharetea,Westfield Parramatta,1325.0,ShareTea,"https://www.zomato.com/sydney/sharetea-parramatta
"
0,Sharetea,North Sydney,1296.0,Sharetea,"https://www.zomato.com/sydney/sharetea-north-sydney
"
0,Sharetea,Burwood,1712.0,Sharetea,"https://www.zomato.com/sydney/sharetea-burwood
"
0,Sharetea,Zetland,1322.0,Sharetea,"https://www.zomato.com/sydney/sharetea-zetland
"
0,Sharetea,Chatswood Interchange,1310.0,Sharetea,"https://www.zomato.com/sydney/sharetea-chatswood
"
0,Sharetea,George Street,1375.0,ShareTea,"https://www.zomato.com/sydney/sharetea-1-cbd
"
0,Sharetea,Rhodes Shopping Centre,1338.0,ShareTea,"https://www.zomato.com/sydney/sharetea-rhodes
"
0,Sexy Tea,Haymarket,1467.0,Sexy Tea,"https://www.zomato.com/sydney/sexy-tea-haymarket
"
0,Seoulmate,Chatswood,1685.0,Seoulmate,"https://www.zomato.com/sydney/seoulmate-north-willoughby
"
0,Sandoitchi,Darlinghurst,1365.0,Sandoitchi,"https://www.zomato.com/sydney/sandoitchi-darlinghurst
"
0,Salt Meats Cheese,Circular Quay,1276.0,Salt Meats Cheese,"https://www.zomato.com/sydney/salt-meats-cheese-cbd
"
0,Saigon Summer,Ashfield Mall,1453.0,Saigon Summer,"https://www.zomato.com/sydney/saigon-summer-ashfield
"
0,Saigon Summer,Surry Hills,1454.0,Saigon Summer,"https://www.zomato.com/sydney/saigon-summer-surry-hills
"
0,Saigon Bowl,Strathfield,1616.0,Saigon Bowl,"https://www.zomato.com/sydney/saigon-bowl-strathfield
"
0,Rush Hotdogs and Burgers,Surry Hills,905.0,Rush Hotdogs and Burgers,"https://www.zomato.com/sydney/rush-hotdogs-and-burgers-surry-hills
"
0,Rubyos,Newtown,384.0,Rubyos,"https://www.zomato.com/sydney/rubyos-newtown
"
0,Roll'd,Parramatta,844.0,Grill'd - Westfield Parramatta,"https://www.zomato.com/sydney/grilld-westfield-parramatta-parramatta
"
0,RivaReno Gelato,Darlinghurst,1324.0,RivaReno Gelato,"https://www.zomato.com/sydney/rivareno-gelato-darlinghurst
"
0,RivaReno Gelato,Barangaroo,1323.0,RivaReno Gelato,"https://www.zomato.com/sydney/rivareno-gelato-barangaroo
"
0,Ricefields,Steam Mill Lane,1355.0,Ricefields 米味,"https://www.zomato.com/sydney/ricefields-haymarket
"
0,Rey's Place,Darlinghurst,1020.0,Rey's Place,"https://www.zomato.com/sydney/reys-place-potts-point
"
0,Restaurant Moon,Darlinghurst,1511.0,Yama Gardens Japanese Restaurant,"https://www.zomato.com/sydney/yama-gardens-japanese-restaurant-1-darlinghurst
"
1,Restaurant Moon,Darlinghurst,1511.0,Una's Café & Restaurant,"https://www.zomato.com/sydney/unas-café-restaurant-darlinghurst
"
0,Real Peas,Sydney,741.0,Real Peas,"https://www.zomato.com/sydney/real-peas-cbd
"
0,Ramen Zundo,Chatswood,1663.0,Ramen Zundo,"https://www.zomato.com/sydney/ramen-zundo-chatswood
"
0,Qing's Kitchen,Eastwood,707.0,Qing's Kitchen,"https://www.zomato.com/sydney/qings-kitchen-eastwood
"
0,QQ Tea,Parramatta,1312.0,QQ Tea,"https://www.zomato.com/sydney/qq-tea-parramatta
"
0,Preet Indian,Chatswood,1662.0,Pakwaan Indian,"https://www.zomato.com/sydney/pakwaan-indian-chatswood
"
0,Poked,North Sydney,1187.0,Poked,"https://www.zomato.com/sydney/poked-north-sydney
"
0,Pizza M,Ultimo,1618.0,Pizza M,"https://www.zomato.com/sydney/pizza-m-ultimo
"
0,Piccolo Me,King Street,1335.0,Piccolo Me,"https://www.zomato.com/sydney/piccolo-me-1-cbd
"
0,Piccolo Me,Hunter Street,1327.0,Piccolo Me,"https://www.zomato.com/sydney/piccolo-me-2-cbd
"
0,Piccolo Me,Macquarie Street,1336.0,Piccolo Me,"https://www.zomato.com/sydney/piccolo-me-3-cbd
"
0,Piccolo Me,Castlereagh Street,1337.0,Piccolo Me,"https://www.zomato.com/sydney/piccolo-me-cbd
"
0,Phuong Restaurant,Crows Nest,1195.0,Phuong,"https://www.zomato.com/sydney/phuong-crows-nest
"
1,Phuong Restaurant,Crows Nest,1195.0,Peter Pan's Italian Restaurant Pizzeria,"https://www.zomato.com/sydney/peter-pans-italian-restaurant-pizzeria-crows-nest
"
0,Phomo,Barangaroo,1542.0,Phomo,"https://www.zomato.com/sydney/phomo-barangaroo
"
0,Pho Mumum,Chippendale,689.0,Pho Mumum,"https://www.zomato.com/sydney/pho-mumum-ultimo
"
0,Pho Gia Hoi,Sydney,1477.0,Pho Gia Hoi,"https://www.zomato.com/sydney/pho-gia-hoi-cbd
"
0,Pasta Pantry,Bellevue Hill,1353.0,Pasta Pantry,"https://www.zomato.com/sydney/pasta-pantry-bondi-junction
"
0,Pasta Pantry,Bondi Junction,1157.0,Pasta Pantry,"https://www.zomato.com/sydney/pasta-pantry-bondi-junction
"
0,PappaRich,Macquarie,1055.0,PappaRich,"https://www.zomato.com/sydney/papparich-1-macquarie-park
"
0,PappaRich,Sydney Express,1058.0,PappaRich - Central Plaza Express,"https://www.zomato.com/sydney/papparich-central-plaza-express-cbd
"
0,Ouroboros,Surry Hills,623.0,Ouroboros Wholefoods Cafe,"https://www.zomato.com/sydney/ouroboros-wholefoods-cafe-1-surry-hills
"
0,Osteria Antica,Annandale,1147.0,Osteria Antica,"https://www.zomato.com/sydney/osteria-antica-annandale
"
0,Olivo,Darling Harbour,489.0,Olivo,"https://www.zomato.com/sydney/olivo-cbd
"
0,Oh! Matcha,Regent Place,1458.0,Oh! Matcha,"https://www.zomato.com/sydney/oh-matcha-1-cbd
"
0,Oh! Matcha,World Square,1459.0,Oh! Matcha,"https://www.zomato.com/sydney/oh-matcha-2-cbd
"
